methods,path,params,produces,controller,handler,source,line,annotation
ANY,/articles/{group}/{id}/history,,,EditHistoryController,showEditInfo,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala,35,"@RequestMapping(Array(""/news/{group}/{id}/history"", ""/forum/{group}/{id}/history"", ""/gallery/{group}/{id}/history"", ""/polls/{group}/{id}/history"", ""/articles/{group}/{id}/history""))"
ANY,/articles/{group}/{id}/{commentid}/history,,,EditHistoryController,showCommentEditInfo,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala,60,"@RequestMapping(Array(""/news/{group}/{id}/{commentid}/history"", ""/forum/{group}/{id}/{commentid}/history"", ""/gallery/{group}/{id}/{commentid}/history"", ""/polls/{group}/{id}/{commentid}/history"", ""/articles/{group}/{id}/{commentid}/history""))"
POST,/banip.jsp,,,BanIPController,banIP,src/main/scala/ru/org/linux/auth/BanIPController.scala,34,"@RequestMapping(value = Array(""/banip.jsp""), method = Array(RequestMethod.POST))"
ANY,/check-login,,,RegisterController,ajaxLoginCheck,src/main/scala/ru/org/linux/user/RegisterController.scala,194,"@RequestMapping(path = Array(""check-login""))"
POST,/clear-warning,,,WarningController,clear,src/main/scala/ru/org/linux/warning/WarningController.scala,198,"@RequestMapping(value = Array(""/clear-warning""), method = Array(RequestMethod.POST))"
ANY,/comment-message.jsp,,,AddCommentController,showFormTopic,src/main/scala/ru/org/linux/comment/AddCommentController.scala,71,"@RequestMapping(path = Array(""/comment-message.jsp""))"
GET,/commit.jsp,,,EditTopicController,showCommitForm,src/main/scala/ru/org/linux/topic/EditTopicController.scala,57,"@RequestMapping(value = Array(""/commit.jsp""), method = Array(RequestMethod.GET))"
GET,/delete.jsp,,,DeleteTopicController,showForm,src/main/scala/ru/org/linux/topic/DeleteTopicController.scala,50,"@RequestMapping(value = Array(""/delete.jsp""), method = Array(RequestMethod.GET))"
POST,/delete.jsp,,,DeleteTopicController,deleteMessage,src/main/scala/ru/org/linux/topic/DeleteTopicController.scala,73,"@RequestMapping(value = Array(""/delete.jsp""), method = Array(RequestMethod.POST))"
GET,/delete_comment.jsp,,,DeleteCommentController,showForm,src/main/scala/ru/org/linux/comment/DeleteCommentController.scala,44,"@RequestMapping(value = Array(""/delete_comment.jsp""), method = Array(RequestMethod.GET))"
POST,/delete_comment.jsp,,,DeleteCommentController,deleteComments,src/main/scala/ru/org/linux/comment/DeleteCommentController.scala,83,"@RequestMapping(value = Array(""/delete_comment.jsp""), method = Array(RequestMethod.POST))"
GET,/delete_image,,,DeleteImageController,deleteForm,src/main/scala/ru/org/linux/gallery/DeleteImageController.scala,39,@RequestMapping(method = Array(RequestMethod.GET))
