status,methods,path,params,controller,handler,rust_match,source
covered,POST,/edit.jsp,,EditTopicController,edit,"GET,POST /edit.jsp",src/main/scala/ru/org/linux/topic/EditTopicController.scala:215
covered,GET,/edit_comment,,EditCommentController,editCommentShowHandler,"GET,POST /edit_comment",src/main/scala/ru/org/linux/comment/EditCommentController.scala:54
covered,POST,/edit_comment,,EditCommentController,editCommentPostHandler,"GET,POST /edit_comment",src/main/scala/ru/org/linux/comment/EditCommentController.scala:96
covered,ANY,/errors/403,,HttpErrorController,handle403,GET /errors/403,src/main/scala/ru/org/linux/site/HttpErrorController.scala:25
covered,ANY,/errors/404,,HttpErrorController,handle404,GET /errors/404,src/main/scala/ru/org/linux/site/HttpErrorController.scala:22
covered,ANY,/forum,,SectionController,forum,GET /forum,src/main/scala/ru/org/linux/section/SectionController.scala:30
covered,ANY,/forum/lenta,,TopicListController,forum,GET /forum/lenta,src/main/scala/ru/org/linux/topic/TopicListController.scala:185
covered,ANY,/forum/{group},,GroupController,forum,GET /forum/:group,src/main/scala/ru/org/linux/group/GroupController.scala:104
covered,ANY,/forum/{group}/archive,,ArchiveController,forumArchive,GET /forum/:group/archive,src/main/scala/ru/org/linux/topic/ArchiveController.scala:88
covered,ANY,/forum/{group}/{id}/history,,EditHistoryController,showEditInfo,GET /forum/:group/:id/history,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala:35
covered,ANY,/forum/{group}/{id}/{commentid}/history,,EditHistoryController,showCommentEditInfo,GET /forum/:group/:id/:commentid/history,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala:60
covered,ANY,/forum/{group}/{year}/{month},,GroupController,forumArchive,GET /forum/:group/:year/:month,src/main/scala/ru/org/linux/group/GroupController.scala:71
covered,ANY,/gallery/archive,,ArchiveController,galleryArchive,GET /gallery/archive,src/main/scala/ru/org/linux/topic/ArchiveController.scala:76
covered,ANY,/gallery/{group}/{id}/history,,EditHistoryController,showEditInfo,GET /gallery/:group/:id/history,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala:35
covered,ANY,/gallery/{group}/{id}/{commentid}/history,,EditHistoryController,showCommentEditInfo,GET /gallery/:group/:id/:commentid/history,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala:60
covered,ANY,/group-lastmod.jsp,,GroupController,topicsLastmod,GET /group-lastmod.jsp,src/main/scala/ru/org/linux/group/GroupController.scala:59
covered,ANY,/group.jsp,,GroupController,topics,GET /group.jsp,src/main/scala/ru/org/linux/group/GroupController.scala:47
covered,GET,/groupmod.jsp,,GroupModificationController,showForm,"GET,POST /groupmod.jsp",src/main/scala/ru/org/linux/group/GroupModificationController.scala:30
covered,POST,/groupmod.jsp,,GroupModificationController,modifyGroup,"GET,POST /groupmod.jsp",src/main/scala/ru/org/linux/group/GroupModificationController.scala:44
covered,ANY,/help/{page},,HelpController,helpPage,GET /help/:page,src/main/scala/ru/org/linux/help/HelpController.scala:34
covered,ANY,/index.jsp,,MainPageController,mainPage,GET /index.jsp,src/main/scala/ru/org/linux/spring/MainPageController.scala:40
covered,"GET,HEAD",/jump-message.jsp,,TopicController,jumpMessage,GET /jump-message.jsp,src/main/scala/ru/org/linux/topic/TopicController.scala:450
covered,"GET,HEAD",/login.jsp,,LoginController,loginForm,GET /login.jsp,src/main/scala/ru/org/linux/auth/LoginController.scala:132
covered,POST,/login_process,,LoginController,loginProcess,POST /login_process,src/main/scala/ru/org/linux/auth/LoginController.scala:53
covered,POST,/logout,,LoginController,logout,"GET,POST /logout",src/main/scala/ru/org/linux/auth/LoginController.scala:108
covered,GET,/logout,,LoginController,logoutLink,"GET,POST /logout",src/main/scala/ru/org/linux/auth/LoginController.scala:125
covered,POST,/logout_all_sessions,,LoginController,logoutAllDevices,"GET,POST /logout_all_sessions",src/main/scala/ru/org/linux/auth/LoginController.scala:119
covered,GET,/logout_all_sessions,,LoginController,logoutLink,"GET,POST /logout_all_sessions",src/main/scala/ru/org/linux/auth/LoginController.scala:125
covered,GET,/lostpwd.jsp,,LostPasswordController,showForm,"GET,POST /lostpwd.jsp",src/main/scala/ru/org/linux/user/LostPasswordController.scala:39
covered,POST,/lostpwd.jsp,,LostPasswordController,sendPassword,"GET,POST /lostpwd.jsp",src/main/scala/ru/org/linux/user/LostPasswordController.scala:42
covered,POST,/markup/preview,,MarkupPreviewController,preview,POST /markup/preview,src/main/scala/ru/org/linux/markup/MarkupPreviewController.scala:34
covered,POST,/memories.jsp,add,MemoriesController,add,POST /memories.jsp,src/main/scala/ru/org/linux/user/MemoriesController.scala:28
covered,POST,/memories.jsp,remove,MemoriesController,remove,POST /memories.jsp,src/main/scala/ru/org/linux/user/MemoriesController.scala:50
covered,POST,/mt.jsp,,TopicModificationController,moveTopic,"GET,POST /mt.jsp",src/main/scala/ru/org/linux/topic/TopicModificationController.scala:99
covered,GET,/mt.jsp,,TopicModificationController,moveToForumForm,"GET,POST /mt.jsp",src/main/scala/ru/org/linux/topic/TopicModificationController.scala:119
covered,GET,/mtn.jsp,,TopicModificationController,movePremoderatedForm,GET /mtn.jsp,src/main/scala/ru/org/linux/topic/TopicModificationController.scala:134
covered,ANY,/news/archive,,ArchiveController,newsArchive,GET /news/archive,src/main/scala/ru/org/linux/topic/ArchiveController.scala:79
covered,ANY,/news/{group}/{id}/history,,EditHistoryController,showEditInfo,GET /news/:group/:id/history,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala:35
covered,ANY,/news/{group}/{id}/{commentid}/history,,EditHistoryController,showCommentEditInfo,GET /news/:group/:id/:commentid/history,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala:60
covered,POST,/notifications,,UserEventController,resetNotifications,"GET,POST /notifications",src/main/scala/ru/org/linux/user/UserEventController.scala:58
covered,"GET,HEAD",/notifications,,UserEventController,showNotifications,"GET,POST /notifications",src/main/scala/ru/org/linux/user/UserEventController.scala:126
covered,POST,/notifications-click,,UserEventController,clickNotifications,POST /notifications-click,src/main/scala/ru/org/linux/user/UserEventController.scala:68
covered,POST,/notifications-click/ajax,,UserEventController,clickNotificationsAjax,POST /notifications-click/ajax,src/main/scala/ru/org/linux/user/UserEventController.scala:76
covered,GET,/notifications-count,,UserEventApiController,getEventsCount,GET /notifications-count,src/main/scala/ru/org/linux/user/UserEventApiController.scala:31
covered,POST,/notifications-reset,,UserEventApiController,resetNotifications,POST /notifications-reset,src/main/scala/ru/org/linux/user/UserEventApiController.scala:37
covered,ANY,/people/{nick},output=rss,UserTopicListController,showUserTopicsRssGone,GET /people/:nick,src/main/scala/ru/org/linux/topic/UserTopicListController.scala:84
covered,ANY,/people/{nick}/deleted-comments,,ShowCommentsController,showDeletedComments,GET /people/:nick/deleted-comments,src/main/scala/ru/org/linux/comment/ShowCommentsController.scala:61
covered,GET,/people/{nick}/deleted-topics,,UserTopicListController,showDeletedTopics,GET /people/:nick/deleted-topics,src/main/scala/ru/org/linux/topic/UserTopicListController.scala:143
covered,ANY,/people/{nick}/drafts,,UserTopicListController,showUserDrafts,GET /people/:nick/drafts,src/main/scala/ru/org/linux/topic/UserTopicListController.scala:59
covered,GET,/people/{nick}/edit,,EditProfileController,show,"GET,POST /people/:nick/edit",src/main/scala/ru/org/linux/user/EditProfileController.scala:58
covered,POST,/people/{nick}/edit,,EditProfileController,edit,"GET,POST /people/:nick/edit",src/main/scala/ru/org/linux/user/EditProfileController.scala:102
covered,ANY,/people/{nick}/favs,,UserTopicListController,showUserFavs,GET /people/:nick/favs,src/main/scala/ru/org/linux/topic/UserTopicListController.scala:37
covered,"GET,HEAD",/people/{nick}/profile,reset-password,ResetPasswordController,showModeratorForm,GET /people/:nick/profile,src/main/scala/ru/org/linux/user/ResetPasswordController.scala:33
covered,"GET,HEAD",/people/{nick}/profile,,WhoisController,getInfoNew,GET /people/:nick/profile,src/main/scala/ru/org/linux/user/WhoisController.scala:49
covered,"GET,HEAD",/people/{nick}/profile,year-stats,WhoisController,yearStats,GET /people/:nick/profile,src/main/scala/ru/org/linux/user/WhoisController.scala:204
covered,"GET,HEAD",/people/{nick}/profile/wipe,,UserModificationController,wipe,GET /people/:nick/profile/wipe,src/main/scala/ru/org/linux/user/UserModificationController.scala:315
covered,GET,/people/{nick}/remark,,EditRemarkController,showForm,"GET,POST /people/:nick/remark",src/main/scala/ru/org/linux/user/EditRemarkController.scala:29
covered,POST,/people/{nick}/remark,,EditRemarkController,editProfile,"GET,POST /people/:nick/remark",src/main/scala/ru/org/linux/user/EditRemarkController.scala:48
covered,ANY,/people/{nick}/remarks,,ShowRemarkController,showRemarks,GET /people/:nick/remarks,src/main/scala/ru/org/linux/user/ShowRemarkController.scala:26
covered,GET,/people/{nick}/settings,,EditSettingsController,showForm,"GET,POST /people/:nick/settings",src/main/scala/ru/org/linux/user/EditSettingsController.scala:37
covered,POST,/people/{nick}/settings,,EditSettingsController,updateSettings,"GET,POST /people/:nick/settings",src/main/scala/ru/org/linux/user/EditSettingsController.scala:78
covered,ANY,/people/{nick}/tracked,,UserTopicListController,showUserWatches,GET /people/:nick/tracked,src/main/scala/ru/org/linux/topic/UserTopicListController.scala:161
covered,ANY,/poll.boxlet,,PollBoxlet,getData,GET /poll.boxlet,src/main/scala/ru/org/linux/poll/PollBoxlet.scala:30
covered,ANY,/polls/archive,,ArchiveController,pollsArchive,GET /polls/archive,src/main/scala/ru/org/linux/topic/ArchiveController.scala:82
covered,ANY,/polls/{group}/{id}/history,,EditHistoryController,showEditInfo,GET /polls/:group/:id/history,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala:35
covered,ANY,/polls/{group}/{id}/{commentid}/history,,EditHistoryController,showCommentEditInfo,GET /polls/:group/:id/:commentid/history,src/main/scala/ru/org/linux/edithistory/EditHistoryController.scala:60
covered,GET,/post-warning,,WarningController,showForm,"GET,POST /post-warning",src/main/scala/ru/org/linux/warning/WarningController.scala:50
covered,POST,/post-warning,,WarningController,post,"GET,POST /post-warning",src/main/scala/ru/org/linux/warning/WarningController.scala:98
covered,GET,/reactions,comment,ReactionController,commentReaction,"GET,POST /reactions",src/main/scala/ru/org/linux/reaction/ReactionController.scala:44
covered,POST,/reactions,comment,ReactionController,setCommentReaction,"GET,POST /reactions",src/main/scala/ru/org/linux/reaction/ReactionController.scala:90
covered,GET,/reactions,!comment,ReactionController,topicReaction,"GET,POST /reactions",src/main/scala/ru/org/linux/reaction/ReactionController.scala:114
covered,POST,/reactions,!comment,ReactionController,setTopicReaction,"GET,POST /reactions",src/main/scala/ru/org/linux/reaction/ReactionController.scala:162
covered,POST,/reactions/ajax,comment,ReactionController,setCommentReactionAjax,POST /reactions/ajax,src/main/scala/ru/org/linux/reaction/ReactionController.scala:101
covered,POST,/reactions/ajax,!comment,ReactionController,setTopicReactionAjax,POST /reactions/ajax,src/main/scala/ru/org/linux/reaction/ReactionController.scala:172
covered,GET,/register.jsp,,RegisterController,register,"GET,POST /register.jsp",src/main/scala/ru/org/linux/user/RegisterController.scala:50
covered,POST,/register.jsp,,RegisterController,doRegister,"GET,POST /register.jsp",src/main/scala/ru/org/linux/user/RegisterController.scala:65
covered,POST,/remove-userpic.jsp,,UserModificationController,removeUserpic,POST /remove-userpic.jsp,src/main/scala/ru/org/linux/user/UserModificationController.scala:267
